FilePath,FileName,PredictedCategory,Date,Score_FakeIDs,Score_DrugPayments,Score_LocationScreenshots,Score_Conversations,Score_BackgroundDocs
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6582.PNG,IMG_6582.PNG,Conversations,2025-08-13,0.1554,0.2304,0.1934,0.2841,0.2146
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6583.PNG,IMG_6583.PNG,Conversations,2025-08-13,0.1815,0.2147,0.1757,0.2303,0.2150
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6584.PNG,IMG_6584.PNG,Conversations,2025-08-13,0.1388,0.2179,0.1863,0.2963,0.2062
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6585.PNG,IMG_6585.PNG,Conversations,2025-08-13,0.1554,0.2326,0.1820,0.2576,0.2046
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6586.PNG,IMG_6586.PNG,Conversations,2025-08-13,0.1623,0.2363,0.1933,0.2845,0.2071
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6587.PNG,IMG_6587.PNG,Conversations,2025-08-13,0.1477,0.2354,0.1772,0.2839,0.2126
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6589.PNG,IMG_6589.PNG,Conversations,2025-08-13,0.1843,0.2223,0.1971,0.2917,0.2301
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6593.PNG,IMG_6593.PNG,Conversations,2025-08-13,0.1686,0.2024,0.1776,0.2724,0.2269
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6595.PNG,IMG_6595.PNG,Conversations,2025-08-13,0.1740,0.2296,0.1916,0.2561,0.2094
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6596.PNG,IMG_6596.PNG,Conversations,2025-08-13,0.1697,0.2157,0.1936,0.2537,0.2098
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6597.PNG,IMG_6597.PNG,FakeIDs,2025-08-13,0.2976,0.2431,0.2230,0.2562,0.2692
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6599.PNG,IMG_6599.PNG,Conversations,2025-08-13,0.1705,0.2147,0.2090,0.2588,0.2103
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6600.PNG,IMG_6600.PNG,Conversations,2025-08-13,0.1737,0.2286,0.1834,0.2803,0.2062
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6602.PNG,IMG_6602.PNG,Conversations,2025-08-13,0.1401,0.2226,0.1966,0.2818,0.2076
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6603.PNG,IMG_6603.PNG,Conversations,2025-08-13,0.1740,0.2335,0.1921,0.2825,0.2091
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6605.PNG,IMG_6605.PNG,Conversations,2025-08-13,0.1516,0.2275,0.1881,0.2874,0.2037
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6606.PNG,IMG_6606.PNG,Conversations,2025-08-13,0.1956,0.2486,0.2385,0.3131,0.2335
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6607.PNG,IMG_6607.PNG,Conversations,2025-08-13,0.1684,0.2333,0.2069,0.2773,0.2170
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6608.PNG,IMG_6608.PNG,Conversations,2025-08-13,0.1701,0.2235,0.1689,0.2457,0.2102
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6609.PNG,IMG_6609.PNG,Conversations,2025-08-13,0.1592,0.2313,0.1904,0.2887,0.2076
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6610.PNG,IMG_6610.PNG,Conversations,2025-08-13,0.1668,0.2357,0.1798,0.2779,0.2249
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6611.PNG,IMG_6611.PNG,Conversations,2025-08-13,0.1612,0.2321,0.1784,0.2630,0.2189
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6612.PNG,IMG_6612.PNG,Conversations,2025-08-13,0.1417,0.2385,0.1785,0.2726,0.1980
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6617.PNG,IMG_6617.PNG,Conversations,2025-08-13,0.1814,0.2166,0.1782,0.2355,0.2157
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6966.PNG,IMG_6966.PNG,Conversations,2025-08-13,0.1522,0.2149,0.1925,0.2740,0.1954
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6967.PNG,IMG_6967.PNG,Conversations,2025-08-13,0.1608,0.2107,0.1812,0.2630,0.2063
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6968.PNG,IMG_6968.PNG,Conversations,2025-08-13,0.1903,0.2552,0.1953,0.2980,0.2392
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6969.PNG,IMG_6969.PNG,Conversations,2025-08-13,0.1373,0.2215,0.1758,0.2762,0.2089
