"SHA256","Category","DateFolder","SourcePath","DestPath","EvidenceBucket","DateTaken","FallbackTimestamp"
"C4A98259678671B0A323CA7B6DFCC9D9EB1795EFD1EA234DADF5765194753B0F","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6979.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6979.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"0D25A41D7FDA6BAA2A3AAE7F14344BD34C0537C9645FEEC035515D5B33160524","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6980.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6980.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"5B03B17A1AFBB31DD7992D2FA0EAF463B369DBBFA8CC51E2530C12E4F4312473","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6981.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6981.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"A787D926360EAB4199E6221614C6652B682806B1FDFAF7498C15CBE8533059A0","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6982.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6982.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"179BD932C72A10B1258632F26BB1D3A5019574300074864F3CC2178858A933F4","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6983.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6983.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"15937EBC13769D467A0EFBF2B9593CAEABF4207AD2EC3029E681A4A679404D56","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6984.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6984.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"0FD3622372174CB45076E9A5CBBDDC0566799B5C64EF43D5030EED143ECA73DC","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6985.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6985.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"05600CC164093AC9F1A84D2E25E3AC7C07FA73C062422EBD3709C5189F241B33","Conversations","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6986.PNG",".\02-evidence\redacted\categorized\Conversations\1980-01-01\IMG_6986.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"6840BCB11C6C2EC1E4C57EF37CFCE0D2D045BCB6F30AAD1340873BE86D273776","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6993.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6993.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"92C266D50E0862E68BF68AEA5C900F9B3826CD84710D2CC4D3A0FBB5C0DD81AF","Conversations","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_7005.PNG",".\02-evidence\redacted\categorized\Conversations\1980-01-01\IMG_7005.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"18CFB7000ECD09F1B1AD45478E89D5EB3FDEF2988EC29989C275E6032E811683","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_7082.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_7082.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"9774293A829894735050A49D4F19B9F5B1D8BBD65A19679B7A283FCEF2046EFA","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_7083.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_7083.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"41204A913C9794F30C6427B7244DE2858CC5F0C325BFDC21E0CF89CDA804E4D8","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_7084.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_7084.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"AD6E8E7DDC920877342CC608DD262C8F021F0EF3AE716053BCC192FE91D1A166","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_7085.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_7085.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"9692AEDF7AA42F235F5379CBEA9961E2E649F7C79C708A26DF9719E035D7625C","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_7086.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_7086.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"C5D7A1CC78C99F44E9F7DCC4DF6B93F8293C4FC576E32F8D9A95DDD5C9F860AD","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_7123.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_7123.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"4C9BD901E60C06DACD77D8FFF837779EBE7C3894A503D7E6A91716D5CC6279AD","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_7125.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_7125.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
